agent     ,map      ,win_rate ,wins ,rounds
Cypher    ,Sunset   ,   47.94 ,1184 ,  2470
Waylay    ,Sunset   ,   47.81 , 919 ,  1922
Sova      ,Sunset   ,   47.65 ,1428 ,  2997
Breach    ,Sunset   ,   47.36 , 753 ,  1590
KAY/O     ,Sunset   ,   47.24 , 368 ,   779
Viper     ,Sunset   ,   47.18 , 786 ,  1666
Deadlock  ,Sunset   ,   46.95 , 508 ,  1082
Vyse      ,Sunset   ,   46.87 , 546 ,  1165
Jett      ,Sunset   ,   46.71 , 298 ,   638
Omen      ,Sunset   ,   44.18 , 876 ,  1983
Tejo      ,Sunset   ,   43.78 , 102 ,   233
Reyna     ,Sunset   ,   43.27 ,  45 ,   104
Killjoy   ,Sunset   ,   41.51 ,  44 ,   106
